Timestamp,Dataset,Clustering Algorithm,Accuracy
2024-02-06 21:05:49.364999,s1,Agglomerative_Clustering_Ward_Linkage,0.9922
2024-02-06 21:12:40.548354,s1,KMeans_clustering,0.9938
2024-02-06 21:16:39.502048,s1,KMeans_clustering,0.9938
2024-02-06 21:17:35.483983,s1,KMeans_clustering,0.9934
2024-02-06 21:21:29.844691,s1,KMeans_clustering,0.9938
2024-02-06 21:35:02.338858,s1,DBSCAN_clustering,0.0
2024-02-06 21:41:40.156194,s1,DBSCAN_clustering,0.0
2024-02-06 21:48:29.666728,s1,DBSCAN_clustering,0.0632
2024-02-06 21:49:44.437281,s1,DBSCAN_clustering,0.135
2024-02-06 23:16:06.483839,s1,DBSCAN_clustering,0.0
2024-02-06 23:31:37.169712,s1,DBSCAN_clustering,0.602
2024-02-06 23:43:45.344885,s1,Birch_clustering,0.07
2024-02-06 23:44:49.250395,s1,Birch_clustering,0.8888
2024-02-06 23:46:05.030305,s1,Birch_clustering,0.9944
2024-02-07 00:10:44.450979,s1,AffinityPropagation_clustering,0.2532
2024-02-07 00:18:34.731195,s1,AffinityPropagation_clustering,0.3484
2024-02-07 00:33:10.977967,s1,AffinityPropagation_clustering,0.9936
2024-02-07 00:33:47.586956,s1,AffinityPropagation_clustering,0.9496
2024-02-07 00:34:40.558782,s1,AffinityPropagation_clustering,0.9936
2024-02-07 00:36:05.183914,s1,AffinityPropagation_clustering,0.9936
2024-02-07 01:33:32.323116,s1,OPTICS_clustering,0.1376
2024-02-07 02:02:12.626951,s1,OPTICS_clustering,0.8456
2024-02-07 02:08:20.978391,s1,OPTICS_clustering,0.2506
2024-02-07 02:09:57.562369,s1,OPTICS_clustering,0.2818
2024-02-07 02:11:35.941544,s1,OPTICS_clustering,0.8456
2024-02-07 02:12:56.275070,s1,OPTICS_clustering,0.2506
2024-02-07 02:13:28.648903,s1,OPTICS_clustering,0.1348
2024-02-07 02:13:52.052447,s1,OPTICS_clustering,0.1348
2024-02-07 02:14:07.407690,s1,OPTICS_clustering,0.1348
2024-02-07 02:14:30.648400,s1,OPTICS_clustering,0.8456
2024-02-07 02:14:43.158560,s1,OPTICS_clustering,0.858
2024-02-07 02:15:02.932600,s1,OPTICS_clustering,0.5852
2024-02-07 02:15:18.596022,s1,OPTICS_clustering,0.72
2024-02-07 02:15:37.833297,s1,OPTICS_clustering,0.9228
2024-02-07 02:15:54.509594,s1,OPTICS_clustering,0.923
2024-02-07 02:16:10.432011,s1,OPTICS_clustering,0.9238
2024-02-07 02:16:28.537810,s1,OPTICS_clustering,0.907
2024-02-07 02:17:00.375424,s1,OPTICS_clustering,0.9254
2024-02-07 02:17:22.447891,s1,OPTICS_clustering,0.926
2024-02-07 02:17:35.313039,s1,OPTICS_clustering,0.9262
2024-02-07 02:17:51.772771,s1,OPTICS_clustering,0.9262
2024-02-07 02:18:09.766564,s1,OPTICS_clustering,0.0652
2024-02-07 02:18:19.665522,s1,OPTICS_clustering,0.9852
